TRADEDATE,BOARDID,CLOSE,VOLUME,VALUE
2016-12-23,TQBR,128.13,2983400,381608187.0
2016-12-26,TQBR,128.0,1200400,154299836.0
2016-12-27,TQBR,128.13,1746000,223394372.0
2016-12-28,TQBR,129.0,2593900,333840928.0
2016-12-29,TQBR,130.5,3906100,504374587.0
2016-12-30,TQBR,129.75,2245800,292382181.0
2017-01-03,TQBR,136.59,6955400,933677975.0
2017-01-04,TQBR,134.8,4093700,553240967.0
2017-01-05,TQBR,133.47,2937100,394782754.0
2017-01-06,TQBR,132.5,3040400,403542170.0
2017-01-09,TQBR,130.0,4124600,541660911.0
2017-01-10,TQBR,130.59,3911900,512511022.0
2017-01-11,TQBR,128.8,4052300,525605346.0
2017-01-12,TQBR,128.12,2786300,359707258.0
2017-01-13,TQBR,124.26,6128500,770230387.0
2017-01-16,TQBR,122.76,3955700,488920677.0
2017-01-17,TQBR,122.64,3516300,432174468.0
2017-01-18,TQBR,124.0,3258800,402666898.0
2017-01-19,TQBR,124.99,3904500,488319264.0
2017-01-20,TQBR,126.48,2895600,364606225.0
2017-01-23,TQBR,124.78,3123200,390605875.0
2017-01-24,TQBR,127.7,4149300,527722085.0
2017-01-25,TQBR,127.45,2456400,313683468.0
2017-01-26,TQBR,129.94,4062700,525948616.0
2017-01-27,TQBR,131.9,7274900,953081354.0
2017-01-30,TQBR,130.01,3740700,488802092.0
2017-01-31,TQBR,128.6,2681600,345660029.0
2017-02-01,TQBR,129.42,3158100,407868198.0
2017-02-02,TQBR,128.8,2435800,314734110.0
2017-02-03,TQBR,130.0,2124200,275450392.0
2017-02-06,TQBR,130.46,2695000,350476238.0
2017-02-07,TQBR,130.68,2474300,323297691.0
2017-02-08,TQBR,128.84,2596600,335372374.0
2017-02-09,TQBR,128.4,2568500,328816694.0
2017-02-10,TQBR,127.41,4640400,593371340.0
2017-02-13,TQBR,127.98,6119500,783711097.0
2017-02-14,TQBR,125.44,2171700,273789300.0
2017-02-15,TQBR,125.45,3938600,493820408.0
2017-02-16,TQBR,125.47,2931300,366945833.0
2017-02-17,TQBR,124.45,5321200,662824716.0
2017-02-20,TQBR,125.0,3081700,383818299.0
2017-02-21,TQBR,126.9,4103900,519296520.0
2017-02-22,TQBR,127.99,4730900,601014030.0
2017-02-24,TQBR,125.87,1788100,227907903.0
2017-02-27,TQBR,121.25,4265500,526170533.0
2017-02-28,TQBR,118.81,5199600,622198412.0
2017-03-01,TQBR,122.92,4759500,581620214.0
2017-03-02,TQBR,125.29,7387900,918810435.0
2017-03-03,TQBR,122.43,6127700,756468129.0
2017-03-06,TQBR,120.57,3695300,451871435.0
2017-03-07,TQBR,119.26,4182100,498590745.0
2017-03-09,TQBR,118.46,6214800,730360552.0
2017-03-10,TQBR,117.6,4610100,546886112.0
2017-03-13,TQBR,117.8,4199900,496842933.0
2017-03-14,TQBR,117.51,5367600,633321126.0
2017-03-15,TQBR,117.5,2712100,319634568.0
2017-03-16,TQBR,121.5,8887400,1067190450.0
2017-03-17,TQBR,122.73,4261600,523883114.0
2017-03-20,TQBR,125.45,3625300,451839150.0
2017-03-21,TQBR,125.33,4701200,593377711.0
2017-03-22,TQBR,124.73,3896500,479109256.0
2017-03-23,TQBR,126.0,3013900,378245066.0
2017-03-24,TQBR,124.59,3550600,444881949.0
2017-03-27,TQBR,123.0,2581000,317052176.0
2017-03-28,TQBR,123.3,2633200,323982198.0
2017-03-29,TQBR,123.05,1486400,183387109.0
2017-03-30,TQBR,122.88,2307800,283251916.0
2017-03-31,TQBR,120.8,2547000,308346293.0
2017-04-03,TQBR,120.74,2847100,345531888.0
2017-04-04,TQBR,123.42,2908600,353545249.0
2017-04-05,TQBR,124.71,2927700,364471020.0
2017-04-06,TQBR,125.0,2413900,301899429.0
2017-04-07,TQBR,122.59,4396500,537094817.0
2017-04-10,TQBR,117.35,4852600,575629551.0
2017-04-11,TQBR,117.48,4228600,498778208.0
2017-04-12,TQBR,113.29,4026500,465148817.0
2017-04-13,TQBR,113.28,6890700,778050707.0
2017-04-14,TQBR,111.04,1278200,143296587.0
2017-04-17,TQBR,115.51,3142300,354049976.0
2017-04-18,TQBR,113.7,4767700,544121178.0
2017-04-19,TQBR,112.9,4005600,455033303.0
2017-04-20,TQBR,117.4,9195400,1051604704.0
2017-04-21,TQBR,120.08,7659400,915014287.0
2017-04-24,TQBR,123.49,5602200,685569194.0
2017-04-25,TQBR,123.88,4856000,597869086.0
2017-04-26,TQBR,125.6,3515100,436905427.0
2017-04-27,TQBR,124.71,3472100,432822429.0
2017-04-28,TQBR,125.82,5314900,669869710.0
2017-05-02,TQBR,128.58,5152500,661278381.0
2017-05-03,TQBR,127.25,3670300,466255255.0
2017-05-04,TQBR,126.7,4126800,525909674.0
2017-05-05,TQBR,128.2,3133600,398789615.0
2017-05-10,TQBR,130.0,4764500,618565392.0
2017-05-11,TQBR,127.85,4518200,587772564.0
2017-05-12,TQBR,127.3,2829800,361970651.0
