begin,open,close,high,low,value,volume
2024-05-17 20:00:00,322.30 ,322.71 ,322.78 ,322.23 ,"165,637,601 ","513,680 "
2024-05-17 21:00:00,322.72 ,322.75 ,322.99 ,322.49 ,"206,644,759 ","640,170 "
2024-05-17 22:00:00,322.76 ,322.84 ,322.84 ,322.50 ,"116,265,852 ","360,360 "
2024-05-17 23:00:00,322.83 ,323.16 ,323.23 ,322.70 ,"237,187,751 ","734,430 "
2024-05-20 09:00:00,324.00 ,324.00 ,324.00 ,324.00 ,"61,475,760 ","189,740 "
2024-05-20 10:00:00,324.00 ,322.31 ,324.85 ,322.30 ,"2,032,956,976 ","6,286,120 "
2024-05-20 11:00:00,322.31 ,321.69 ,323.10 ,321.50 ,"1,702,288,437 ","5,282,730 "
2024-05-20 12:00:00,321.68 ,321.20 ,322.14 ,321.20 ,"1,210,997,131 ","3,765,100 "
2024-05-20 13:00:00,321.20 ,321.39 ,322.14 ,321.00 ,"1,038,632,108 ","3,231,920 "
2024-05-20 14:00:00,321.39 ,321.53 ,322.76 ,321.38 ,"856,057,837 ","2,658,160 "
2024-05-20 15:00:00,321.53 ,320.74 ,321.71 ,320.52 ,"1,108,661,744 ","3,454,510 "
2024-05-20 16:00:00,320.75 ,321.39 ,321.41 ,320.50 ,"908,059,400 ","2,830,310 "
2024-05-20 17:00:00,321.39 ,321.40 ,321.64 ,320.81 ,"335,328,101 ","1,043,450 "
2024-05-20 18:00:00,321.40 ,320.94 ,321.41 ,320.71 ,"457,763,590 ","1,426,060 "
2024-05-20 19:00:00,321.70 ,320.89 ,321.75 ,318.94 ,"1,214,015,454 ","3,791,700 "
2024-05-20 20:00:00,320.89 ,320.73 ,321.17 ,320.20 ,"285,990,621 ","891,360 "
2024-05-20 21:00:00,320.72 ,321.11 ,321.50 ,320.50 ,"320,945,048 ","999,770 "
2024-05-20 22:00:00,321.15 ,320.87 ,321.19 ,320.31 ,"199,254,173 ","621,320 "
2024-05-20 23:00:00,320.83 ,321.08 ,321.17 ,320.82 ,"84,933,637 ","264,540 "
2024-05-21 09:00:00,320.88 ,320.88 ,320.88 ,320.88 ,"6,481,776 ","20,200 "
2024-05-21 10:00:00,320.89 ,321.13 ,322.23 ,320.38 ,"1,044,268,524 ","3,247,560 "
2024-05-21 11:00:00,321.14 ,320.68 ,322.20 ,320.40 ,"874,149,294 ","2,721,900 "
2024-05-21 12:00:00,320.68 ,319.99 ,320.69 ,319.20 ,"1,496,288,088 ","4,677,600 "
2024-05-21 13:00:00,320.00 ,319.98 ,320.37 ,319.00 ,"1,125,459,942 ","3,524,050 "
2024-05-21 14:00:00,319.98 ,319.49 ,320.45 ,319.48 ,"708,322,825 ","2,215,060 "
2024-05-21 15:00:00,319.49 ,319.00 ,319.51 ,319.00 ,"874,902,907 ","2,741,290 "
2024-05-21 16:00:00,319.01 ,318.58 ,319.02 ,318.00 ,"2,356,242,686 ","7,402,450 "
2024-05-21 17:00:00,318.58 ,320.32 ,320.62 ,318.29 ,"1,139,612,737 ","3,561,240 "
2024-05-21 18:00:00,320.32 ,319.80 ,320.50 ,319.52 ,"429,150,794 ","1,340,860 "
2024-05-21 19:00:00,319.80 ,320.13 ,320.22 ,319.25 ,"352,725,505 ","1,103,510 "
2024-05-21 20:00:00,320.13 ,320.38 ,320.50 ,320.01 ,"137,441,020 ","429,170 "
2024-05-21 21:00:00,320.38 ,320.10 ,320.55 ,320.04 ,"138,632,825 ","432,750 "
2024-05-21 22:00:00,320.05 ,320.29 ,320.49 ,320.01 ,"70,718,134 ","220,850 "
2024-05-21 23:00:00,320.27 ,320.64 ,320.70 ,320.22 ,"122,088,405 ","380,970 "
2024-05-22 09:00:00,320.80 ,320.80 ,320.80 ,320.80 ,"5,289,992 ","16,490 "
2024-05-22 10:00:00,320.84 ,321.82 ,322.74 ,320.84 ,"1,370,216,745 ","4,256,020 "
2024-05-22 11:00:00,321.82 ,322.53 ,322.60 ,321.77 ,"592,997,373 ","1,840,840 "
2024-05-22 12:00:00,322.54 ,322.60 ,322.70 ,322.24 ,"443,781,487 ","1,376,270 "
2024-05-22 13:00:00,322.60 ,321.88 ,322.62 ,321.80 ,"571,398,512 ","1,773,280 "
2024-05-22 14:00:00,321.93 ,322.25 ,322.40 ,321.81 ,"372,544,366 ","1,156,360 "
2024-05-22 15:00:00,322.25 ,322.05 ,322.35 ,322.00 ,"306,717,638 ","951,940 "
2024-05-22 16:00:00,322.05 ,322.22 ,322.32 ,321.98 ,"442,383,235 ","1,373,520 "
2024-05-22 17:00:00,322.21 ,322.60 ,322.90 ,322.17 ,"638,094,836 ","1,978,750 "
2024-05-22 18:00:00,322.61 ,322.86 ,323.10 ,322.59 ,"614,619,398 ","1,903,050 "
2024-05-22 19:00:00,322.89 ,322.90 ,323.08 ,322.62 ,"220,986,545 ","684,350 "
2024-05-22 20:00:00,322.90 ,322.89 ,323.09 ,322.78 ,"198,607,363 ","614,860 "
2024-05-22 21:00:00,322.89 ,322.65 ,322.96 ,322.44 ,"93,786,708 ","290,630 "
2024-05-22 22:00:00,322.61 ,322.79 ,322.80 ,322.51 ,"54,901,059 ","170,180 "
